trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
185488,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185489,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185490,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185491,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185492,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185493,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185494,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185495,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185496,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185497,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185498,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185499,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185500,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185501,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185502,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185503,1,1,MUN / CONA/ MI,,0,28850,6,0,0
185505,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185506,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185507,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185508,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185509,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185510,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185511,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185512,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185513,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185514,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185515,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185516,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185517,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185518,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185519,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
185520,1,1,Crosbie Rd - Village Mall,,1,28850,7,0,0
