location,month,mean_stringency_index,mean_total_cases_per_million,mean_total_deaths_per_million
Australia,April,71.2208,252.5032,2.5882
Australia,August,78.86083333,861.5955,14.25170833
Australia,July,70.00785714,416.0509643,4.607714286
Australia,June,53.28666667,289.3386,4.0143
Australia,May,67.35225806,274.2758387,3.85583871
Australia,October,68.06,1064.305667,34.95433333
Australia,September,74.22666667,1042.837111,31.255
Canada,April,72.81758621,787.5287241,33.17072414
Canada,August,64.94571429,3234.688179,239.1301071
Canada,July,67.51275862,2906.197793,233.299069
Canada,June,70.275,2607.596033,214.2017
Canada,March,72.69,113.3923333,1.214166667
Canada,May,71.34310345,1990.32631,145.5794828
Canada,October,60.65,4539.417833,251.7145
Canada,September,61.45434783,3740.286478,243.7581739
New Zealand,April,95.12666667,211.6378333,1.859233333
New Zealand,August,52.41935484,265.162871,4.562
New Zealand,July,22.22,248.1182581,4.562
New Zealand,June,22.22,241.6998667,4.562
New Zealand,March,96.3,115.783,0.207
New Zealand,May,58.03357143,237.7307143,4.317857143
New Zealand,October,25.65058824,312.7181765,5.184
New Zealand,September,33.95310345,300.232931,5.00537931
United Kingdom,April,79.63,1720.683217,256.5343478
United Kingdom,August,67.63612903,4677.201032,609.1003226
United Kingdom,July,65.38129032,4320.53571,602.1627419
United Kingdom,June,70.866,3993.011567,578.0277667
United Kingdom,May,74.22516129,3240.626645,483.5188065
United Kingdom,October,67.59,6851.946,622.10925
United Kingdom,September,65.56933333,5584.765733,614.3597667
United States,April,72.69,1882.6671,91.34646667
United States,August,67.13,16069.50006,509.8167097
United States,July,68.26387097,10647.68532,417.2984516
United States,June,70.71133333,6449.4905,349.9210333
United States,March,54.84333333,116.417,1.914916667
United States,May,72.69,4336.729613,258.5292903
United States,October,62.5,22634.92675,637.2683333
United States,September,64.19766667,19932.03297,590.1381333
